"DATE","S/N","TWEET","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"7-9-2024",1,"Na to begin famz NINiola because of rice 😊… na NINtendo wey dey no worry 🫶🏾",663,"1","2024-10-01T16:26:13.816444Z",662,223.893,"Normal","2024-10-01T16:26:13.816702Z"
"7-9-2024",2,"NIN=cheaper food…

Welcome to NINGERIA.

The land of milk and hoNIN…🫡",662,"1","2024-10-01T16:26:07.915458Z",663,2.489,"Normal","2024-10-01T16:26:07.915571Z"
"7-9-2024",3,"You can’t run away from the cleansing work needed to be done to help every African to see their inner light.

There is more work to do than interviews if the original idea is about EQUALITY AND SOCIAL JUSTICE FOR ALL.",664,"1","2024-10-01T16:28:57.054055Z",664,117.126,"Normal","2024-10-01T16:28:57.054197Z"
"6-9-2024",4,"Again, if you are a fan / follower and you have kids, introduce your children ( especially daughters ) to calculated fighting in Self defense…

Told a mother one time but she said the daughter will be raised “ soft “ as a flower.

I left it only for her to think about it later and try but by then the child was already interest in other things.

Men, once again, save your bloodline for the bad ways of men.",665,"1","2024-10-01T16:29:25.355663Z",665,2.568,"Normal","2024-10-01T16:29:25.355984Z"
"5-9-2024",5,"After admitting this flaw, what next? Stay in your light… e get why.",666,"1","2024-10-01T16:29:40.895747Z",666,11.104,"Normal","2024-10-01T16:29:40.895894Z"
"5-9-2024",6,"Establishment wey dey crase…",667,"1","2024-10-01T16:29:48.783977Z",667,2.27,"Offensive","2024-10-01T16:29:48.784158Z"
"5-9-2024",7,"
Omo, a lot should have tried to pay attention to comprehension in school… 

it’s disgustingly embarrassing.
Going by how many are, they should shutdown all schools in Nigeria. It’s of no use at this point . Lol",668,"1","2024-10-01T16:30:11.717422Z",668,17.48,"Offensive","2024-10-01T16:30:11.717571Z"
"5-9-2024",8,"Tribalism won’t save you. 

you have tribal rulers in kings and chiefs selling you to any money man. 

Your fellow tribes men and women do everyday business that destroys your health everyday.

You have men in “ power “ from your home town who wouldn’t build infrastructure in their ( and your ) home town.

You are wasting all our time but who is anyone to tell anyone how to be?
Last edited

",669,"1","2024-10-01T16:36:32.785846Z",669,203.272,"Normal","2024-10-01T16:36:32.786390Z"
"5-9-2024",9,"
how are those using the Bible as a life guide missing the point where God frowns at those who steal from his people saying they will  face disaster which you already see with some popular “ endorsers”. ; dem dey face better disaster because of their political alliance.

Bible dey",670,"1","2024-10-01T16:37:11.226435Z",670,4.736,"Normal","2024-10-01T16:37:11.226638Z"
"4-9-2024",10,"
Victor osimhen #45 as in 4 + 5… 

May he have a great time in Galatasary.

⚽️🏟️⚽️",671,"1","2024-10-01T16:37:21.560084Z",671,6.058,"Normal","2024-10-01T16:37:21.560238Z"
